season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Matej Žagar,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Leon Madsen,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Robert Lambert,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Artiom Łaguta,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Fredrik Lindgren,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Jason Doyle,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Oliver Berntzon,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Bartosz Zmarzlik,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Martin Vaculik,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Emil Sajfutdinow,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,19,main,,Jan Kvěch,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Tai Woffinden,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Max Fricke,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Krzysztof Kasprzak,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,20,main,,Anders Thomsen,0,x,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Maciej Janowski,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Artiom Łaguta,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Jason Doyle,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,21,semi,,Anders Thomsen,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Emil Sajfutdinow,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Fredrik Lindgren,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Bartosz Zmarzlik,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,22,semi,,Martin Vaculik,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Artiom Łaguta,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Maciej Janowski,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Fredrik Lindgren,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,23,final,,Emil Sajfutdinow,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,1,main,,Leon Madsen,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,1,main,,Tai Woffinden,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,1,main,,Jason Doyle,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,1,main,,Tobiasz Musielak,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,1,main,,Krzysztof Kasprzak,,t,5
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,2,main,,Robert Lambert,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,2,main,,Matej Žagar,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,2,main,,Anders Thomsen,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,2,main,,Oliver Berntzon,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,3,main,,Artiom Łaguta,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,3,main,,Maciej Janowski,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,3,main,,Gleb Chugunov,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,3,main,,Martin Vaculik,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,4,main,,Bartosz Zmarzlik,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,4,main,,Fredrik Lindgren,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,4,main,,Emil Sajfutdinow,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,4,main,,Max Fricke,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,5,main,,Leon Madsen,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,5,main,,Gleb Chugunov,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,5,main,,Emil Sajfutdinow,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,5,main,,Oliver Berntzon,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,6,main,,Robert Lambert,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,6,main,,Bartosz Zmarzlik,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,6,main,,Maciej Janowski,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,6,main,,Tai Woffinden,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,7,main,,Artiom Łaguta,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,7,main,,Anders Thomsen,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,7,main,,Jason Doyle,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,7,main,,Fredrik Lindgren,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,8,main,,Martin Vaculik,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,8,main,,Max Fricke,2,2,2
